=> Saving data in Logs/FRL~try=830
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  FRL_label_flip_fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 198 | malicious users: 6 | test acc 0.8422 test loss 0.849084 best test_acc 0.9400
e 199 | malicious users: 1 | test acc 0.9197 test loss 0.786285 best test_acc 0.9400
e 200 | malicious users: 5 | test acc 0.9248 test loss 0.704391 best test_acc 0.9400
e 201 | malicious users: 2 | test acc 0.9388 test loss 0.576577 best test_acc 0.9400
e 202 | malicious users: 7 | test acc 0.6922 test loss 1.007650 best test_acc 0.9400
e 203 | malicious users: 6 | test acc 0.9204 test loss 0.856714 best test_acc 0.9400
e 204 | malicious users: 6 | test acc 0.8775 test loss 0.936881 best test_acc 0.9400
e 205 | malicious users: 9 | test acc 0.8223 test loss 0.974808 best test_acc 0.9400
e 206 | malicious users: 4 | test acc 0.7784 test loss 0.826046 best test_acc 0.9400
e 207 | malicious users: 7 | test acc 0.8936 test loss 0.807599 best test_acc 0.9400
e 208 | malicious users: 6 | test acc 0.8373 test loss 0.911435 best test_acc 0.9400
e 209 | malicious users: 5 | test acc 0.9136 test loss 0.932384 best test_acc 0.9400
e 210 | malicious users: 5 | test acc 0.7865 test loss 0.955759 best test_acc 0.9400
e 211 | malicious users: 2 | test acc 0.8990 test loss 0.775894 best test_acc 0.9400
e 212 | malicious users: 7 | test acc 0.7101 test loss 1.051058 best test_acc 0.9400
e 213 | malicious users: 4 | test acc 0.8311 test loss 0.874408 best test_acc 0.9400
e 214 | malicious users: 7 | test acc 0.8594 test loss 0.912147 best test_acc 0.9400
e 215 | malicious users: 5 | test acc 0.9137 test loss 0.874542 best test_acc 0.9400
e 216 | malicious users: 4 | test acc 0.8849 test loss 0.914928 best test_acc 0.9400
e 217 | malicious users: 3 | test acc 0.9027 test loss 0.760398 best test_acc 0.9400
